month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
2,11000.0,3.0,29.0,female,Secondary Special Education,Furniture,0,1,31000.0,Another,1,1,0
4,22000.0,4.0,24.0,female,Secondary Education,Jewelry,0,0,61000.0,Married,4,1,1
5,22500.0,12.0,62.0,male,Higher Education,Windows & Doors,1,2,16000.0,Married,3,1,0
11,27000.0,10.0,25.0,male,Higher Education,Household appliances,0,2,31000.0,Another,3,1,0
10,5500.0,6.0,26.0,female,Secondary Education,Cell phones,0,2,21000.0,Another,0,1,0
11,14000.0,12.0,31.0,male,Secondary Special Education,Clothing,1,2,16000.0,Another,1,1,0
6,48500.0,6.0,25.0,female,Higher Education,Computers,0,1,63500.0,Married,1,0,0
6,30000.0,18.0,26.0,male,Secondary Special Education,Cell phones,1,2,33000.0,Another,1,1,1
4,15000.0,10.0,34.0,male,Secondary Special Education,Furniture,0,2,19000.0,Another,1,0,0
5,65500.0,15.0,44.0,female,Secondary Special Education,Furniture,1,2,41000.0,Another,1,0,0
4,12000.0,6.0,47.0,female,Secondary Education,Cell phones,0,2,31000.0,Another,0,1,0
10,12500.0,6.0,24.0,female,Secondary Special Education,Household appliances,0,2,23000.0,Another,1,0,0
7,19000.0,12.0,73.0,male,Secondary Special Education,Windows & Doors,0,2,16000.0,Another,0,1,0
3,44000.0,12.0,41.0,female,Secondary Special Education,Computers,1,2,63500.0,Married,0,1,0
7,15000.0,6.0,22.0,female,Secondary Special Education,Computers,0,2,19000.0,Another,0,1,0
1,10000.0,11.0,42.0,male,Secondary Special Education,Household appliances,1,2,21000.0,Married,0,1,0
12,16500.0,12.0,25.0,female,Higher Education,Household appliances,0,2,36000.0,Another,0,0,0
7,48000.0,24.0,35.0,male,Secondary Education,Auto,1,2,16000.0,Married,3,1,0
5,7000.0,3.0,58.0,male,Secondary Special Education,Household appliances,1,2,31000.0,Another,0,1,0
10,34000.0,12.0,54.0,male,Secondary Special Education,Household appliances,0,2,11000.0,Another,1,1,0
9,17500.0,24.0,35.0,female,Higher Education,Furniture,1,2,41000.0,Another,1,1,0
12,38000.0,10.0,54.0,male,Secondary Special Education,Audio & Video,0,2,44000.0,Another,0,1,0
12,30000.0,4.0,68.0,male,Higher Education,Clothing,0,0,41000.0,Another,2,1,0
12,17500.0,10.0,64.0,female,Higher Education,Cell phones,0,2,36000.0,Married,1,1,0
7,16500.0,5.0,34.0,male,Secondary Special Education,Household appliances,0,2,18000.0,Another,0,1,0
11,33500.0,12.0,53.0,female,Secondary Education,Furniture,0,2,19000.0,Another,3,1,0
3,65500.0,24.0,42.0,male,Secondary Special Education,Household appliances,1,2,36000.0,Another,0,0,0
10,28500.0,24.0,31.0,female,Secondary Special Education,Household appliances,1,2,31000.0,Another,3,0,0
1,15000.0,6.0,33.0,female,Secondary Special Education,Furniture,1,2,14000.0,Another,2,0,0
8,22500.0,12.0,19.0,female,Secondary Special Education,Cell phones,0,2,31000.0,Another,0,1,0
12,17000.0,12.0,36.0,female,Secondary Special Education,Cell phones,0,2,41000.0,Married,2,1,0
2,10000.0,6.0,23.0,female,Incomplete Higher Education,Household appliances,1,2,19000.0,Another,0,0,0
8,43000.0,10.0,33.0,male,Secondary Special Education,Windows & Doors,1,0,28000.0,Married,0,0,0
4,63500.0,15.0,23.0,male,Secondary Special Education,Tourism,0,0,34000.0,Another,0,0,0
8,9500.0,6.0,45.0,male,Secondary Special Education,Household appliances,1,2,24000.0,Another,0,1,1
11,31000.0,12.0,21.0,male,Higher Education,Household appliances,1,0,36000.0,Another,2,0,0
5,19000.0,24.0,28.0,male,Secondary Special Education,Household appliances,0,2,31000.0,Another,1,1,0
2,29000.0,11.0,25.0,male,Higher Education,Fitness,0,0,56000.0,Married,1,1,0
9,7000.0,12.0,37.0,male,Secondary Special Education,Cell phones,1,0,31000.0,Another,3,1,0
4,34500.0,12.0,26.0,male,Secondary Special Education,Furniture,1,2,63500.0,Married,1,0,0
2,12500.0,4.0,32.0,male,Secondary Education,Computers,1,2,19000.0,Married,2,1,0
3,31000.0,12.0,22.0,female,Incomplete Higher Education,Cell phones,0,2,31000.0,Another,2,1,0
11,18500.0,12.0,33.0,male,Secondary Special Education,Household appliances,1,2,16000.0,Another,0,1,0
6,44000.0,12.0,23.0,female,Secondary Special Education,Computers,0,2,23000.0,Another,0,0,0
4,32500.0,24.0,26.0,female,Incomplete Higher Education,Household appliances,0,0,63500.0,Another,1,0,0
1,26000.0,10.0,38.0,male,Higher Education,Household appliances,1,0,51000.0,Another,3,0,0
4,19000.0,12.0,27.0,female,Secondary Special Education,Cell phones,0,0,31000.0,Married,0,0,0
4,36500.0,24.0,44.0,male,Secondary Special Education,Windows & Doors,1,0,26000.0,Married,3,1,0
2,6500.0,10.0,38.0,male,Higher Education,Cell phones,1,2,16000.0,Another,1,0,0
11,63500.0,24.0,26.0,male,Higher Education,Household appliances,1,2,56000.0,Another,2,1,0
1,30000.0,12.0,26.0,female,Secondary Special Education,Cell phones,0,2,41000.0,Another,2,0,0
5,14500.0,10.0,35.0,male,Secondary Special Education,Cell phones,1,2,40000.0,Another,1,1,0
3,51500.0,8.0,34.0,female,Higher Education,Training,0,0,51000.0,Another,0,0,0
2,54000.0,3.0,45.0,male,Higher Education,Household appliances,0,2,63500.0,Married,3,1,0
11,32500.0,12.0,32.0,female,Secondary Special Education,Cell phones,0,0,36000.0,Married,1,1,0
4,15000.0,10.0,65.0,male,Secondary Special Education,Jewelry,0,2,11000.0,Married,2,0,0
3,26000.0,8.0,31.0,female,Secondary Special Education,Computers,0,2,36000.0,Another,0,0,0
1,26500.0,18.0,24.0,male,Secondary Education,Cell phones,0,2,26000.0,Another,1,1,0
1,12000.0,10.0,26.0,male,Higher Education,Household appliances,0,2,26000.0,Married,1,0,0
3,27500.0,12.0,30.0,female,Higher Education,Household appliances,0,0,21000.0,Another,1,0,0
6,25500.0,11.0,31.0,male,Higher Education,Fitness,0,0,63500.0,Another,2,0,0
3,19500.0,12.0,23.0,female,Secondary Special Education,Household appliances,0,2,18000.0,Married,0,1,0
4,30500.0,6.0,29.0,male,Higher Education,Furniture,1,2,36000.0,Another,1,1,0
11,45500.0,24.0,32.0,male,Incomplete Higher Education,Computers,1,2,41000.0,Another,1,0,0
12,33000.0,6.0,60.0,male,Higher Education,Household appliances,0,1,46000.0,Another,1,1,0
10,26500.0,18.0,21.0,male,Secondary Special Education,Cell phones,1,2,35000.0,Married,1,0,1
2,53500.0,36.0,48.0,male,Secondary Education,Windows & Doors,1,2,20000.0,Another,2,1,0
11,10500.0,4.0,53.0,male,Secondary Special Education,Clothing,1,2,11000.0,Another,1,0,0
8,8500.0,4.0,30.0,female,Higher Education,Household appliances,1,2,31000.0,Another,0,0,0
1,30000.0,12.0,49.0,male,Secondary Education,Clothing,1,2,26000.0,Another,2,0,0
9,18000.0,6.0,49.0,female,Higher Education,Cell phones,1,0,56000.0,Married,2,1,1
1,65500.0,24.0,30.0,female,Higher Education,Furniture,1,0,51000.0,Another,0,1,0
7,22000.0,8.0,24.0,female,Higher Education,Household appliances,0,2,51000.0,Another,1,1,0
12,65500.0,12.0,31.0,male,Higher Education,Household appliances,1,2,63500.0,Married,3,0,0
6,20000.0,12.0,20.0,male,Secondary Special Education,Computers,0,2,26000.0,Another,2,1,0
2,38000.0,18.0,22.0,male,Secondary Special Education,Furniture,1,2,16000.0,Another,3,1,0
7,8000.0,6.0,31.0,female,Secondary Special Education,Household appliances,0,2,31000.0,Another,1,1,0
3,26500.0,4.0,27.0,male,Higher Education,Cell phones,0,2,36000.0,Another,3,0,0
1,48000.0,24.0,54.0,female,Higher Education,Household appliances,1,0,26000.0,Another,1,0,0
8,5500.0,6.0,23.0,male,Secondary Special Education,Jewelry,0,1,31000.0,Another,0,0,0
2,40500.0,18.0,39.0,male,Secondary Education,Cosmetics and beauty services,1,0,41000.0,Another,0,1,0
12,53000.0,10.0,47.0,male,Secondary Education,Household appliances,0,2,16000.0,Another,2,1,0
10,23000.0,10.0,48.0,female,Secondary Special Education,Computers,1,2,28000.0,Another,1,1,0
7,14500.0,10.0,20.0,male,Secondary Special Education,Cell phones,0,2,18000.0,Another,0,0,0
9,6000.0,3.0,27.0,female,Incomplete Higher Education,Household appliances,1,2,46000.0,Another,1,0,0
11,26000.0,12.0,30.0,female,Secondary Education,Household appliances,0,0,41000.0,Another,1,0,0
6,8000.0,6.0,55.0,male,Secondary Education,Cell phones,0,2,16000.0,Another,0,0,0
9,14000.0,6.0,27.0,female,Secondary Education,Cell phones,0,2,24000.0,Another,0,0,0
12,19000.0,12.0,28.0,male,Higher Education,Cell phones,0,2,21000.0,Another,1,1,0
8,13000.0,12.0,27.0,male,Secondary Special Education,Cell phones,0,2,31000.0,Another,1,0,0
10,9000.0,3.0,48.0,male,Secondary Special Education,Construction Materials,1,2,31000.0,Married,4,0,0
10,6000.0,4.0,23.0,female,Secondary Special Education,Household appliances,0,2,51000.0,Another,0,1,0
10,65500.0,15.0,56.0,male,Higher Education,Furniture,0,2,51000.0,Another,0,1,0
6,55000.0,24.0,25.0,female,Higher Education,Clothing,0,2,46000.0,Another,1,1,0
7,14500.0,10.0,26.0,male,Higher Education,Jewelry,0,2,26000.0,Another,1,1,0
9,18000.0,12.0,32.0,male,Higher Education,Household appliances,1,2,26000.0,Married,2,1,0
3,25500.0,24.0,29.0,male,Secondary Education,Jewelry,0,2,16000.0,Married,1,1,1
2,10000.0,12.0,24.0,male,Higher Education,Cell phones,0,2,24000.0,Another,1,0,0
7,35500.0,30.0,52.0,male,Secondary Special Education,Cosmetics and beauty services,0,2,9000.0,Married,0,1,0
11,5000.0,4.0,22.0,female,Higher Education,Jewelry,0,2,26000.0,Married,3,1,0
12,65500.0,36.0,54.0,male,Secondary Education,Medical services,1,2,26000.0,Married,1,1,0
1,37000.0,15.0,32.0,male,Higher Education,Furniture,1,2,36000.0,Another,0,1,1
6,17500.0,4.0,20.0,male,Secondary Special Education,Cell phones,0,2,21000.0,Married,3,1,0
3,6000.0,3.0,28.0,female,Higher Education,Household appliances,1,2,36000.0,Married,2,1,0
11,23000.0,12.0,66.0,male,Secondary Education,Household appliances,0,2,14000.0,Another,1,1,0
5,5500.0,6.0,52.0,female,Secondary Special Education,Cell phones,0,2,26000.0,Another,2,0,0
7,11000.0,12.0,26.0,female,Secondary Education,Household appliances,1,2,31000.0,Another,0,0,0
2,27500.0,8.0,29.0,male,Incomplete Higher Education,Jewelry,1,2,36000.0,Married,2,0,0
12,49000.0,18.0,24.0,female,Secondary Special Education,Computers,1,2,36000.0,Another,1,0,0
3,16000.0,12.0,20.0,female,Secondary Education,Cell phones,0,2,14000.0,Married,1,1,1
9,65500.0,30.0,24.0,male,Secondary Special Education,Cosmetics and beauty services,0,2,31000.0,Another,0,1,0
11,7500.0,3.0,26.0,male,Higher Education,Construction Materials,0,2,13000.0,Married,2,0,1
12,11500.0,12.0,29.0,female,Secondary Special Education,Cell phones,0,2,26000.0,Another,2,0,1
9,23000.0,10.0,26.0,female,Higher Education,Cell phones,0,2,31000.0,Another,2,0,1
5,13000.0,20.0,52.0,male,Secondary Education,Medical services,1,2,21000.0,Another,0,1,0
9,33500.0,10.0,22.0,male,Higher Education,Cell phones,0,2,26000.0,Married,2,0,0
11,31500.0,12.0,31.0,male,Secondary Education,Computers,0,2,26000.0,Another,2,0,0
9,26000.0,12.0,45.0,female,Secondary Special Education,Household appliances,1,2,16000.0,Unmarried,3,1,0
2,9000.0,3.0,27.0,male,Higher Education,Household appliances,1,2,26000.0,Another,1,0,0
1,11000.0,3.0,24.0,male,Secondary Special Education,Computers,0,2,26000.0,Another,2,1,0
3,34000.0,12.0,31.0,female,Secondary Special Education,Household appliances,0,1,31000.0,Unmarried,1,1,0
9,65500.0,12.0,26.0,male,Higher Education,Windows & Doors,1,2,31000.0,Another,2,1,0
11,7000.0,6.0,26.0,female,Secondary Special Education,Cell phones,0,2,27000.0,Another,2,1,0
1,8000.0,12.0,31.0,male,Secondary Special Education,Cell phones,0,2,20000.0,Another,1,1,0
7,13500.0,12.0,21.0,male,Secondary Special Education,Cell phones,0,2,26000.0,Married,0,1,0
7,8000.0,10.0,22.0,female,Secondary Special Education,Cell phones,1,2,20000.0,Another,0,1,1
6,12500.0,12.0,43.0,female,Higher Education,Household appliances,1,2,31000.0,Another,1,1,0
9,33500.0,12.0,24.0,female,Secondary Education,Cell phones,0,0,51000.0,Another,0,1,0
3,30000.0,12.0,36.0,male,Secondary Special Education,Cell phones,1,0,46000.0,Married,1,1,0
2,22000.0,12.0,50.0,female,Secondary Special Education,Medical services,1,1,37000.0,Another,2,1,0
5,13500.0,6.0,30.0,female,Secondary Special Education,Household appliances,0,2,21000.0,Another,0,1,0
10,13000.0,6.0,27.0,female,Secondary Special Education,Household appliances,0,2,26000.0,Married,1,0,0
4,12000.0,12.0,40.0,female,Secondary Education,Computers,1,2,13000.0,Another,1,1,0
12,21000.0,18.0,23.0,male,Higher Education,Household appliances,0,2,26000.0,Another,2,1,1
5,30500.0,12.0,54.0,female,Higher Education,Construction Materials,0,2,46000.0,Married,2,1,0
2,21000.0,8.0,49.0,male,Higher Education,Household appliances,0,2,41000.0,Another,3,1,0
11,19500.0,6.0,29.0,male,Secondary Special Education,Cell phones,1,2,24000.0,Married,2,1,0
9,11000.0,3.0,41.0,male,Secondary Special Education,Computers,1,2,21000.0,Another,2,0,0
10,58500.0,36.0,57.0,female,Secondary Special Education,Furniture,1,2,32000.0,Married,1,1,0
5,21500.0,12.0,64.0,male,Higher Education,Household appliances,1,2,25000.0,Another,2,0,0
10,12000.0,12.0,36.0,male,Secondary Special Education,Cell phones,1,1,31000.0,Another,1,0,0
10,12000.0,10.0,22.0,female,Secondary Special Education,Auto,0,2,19000.0,Another,1,0,0
9,21500.0,12.0,62.0,male,Secondary Education,Household appliances,1,2,16000.0,Another,1,1,0
6,21000.0,3.0,47.0,female,Higher Education,Household appliances,1,2,41000.0,Another,1,1,0
11,34500.0,7.0,45.0,male,Secondary Special Education,Clothing,1,2,26000.0,Another,0,1,0
11,8500.0,12.0,22.0,female,Secondary Special Education,Cell phones,0,2,27000.0,Married,0,1,1
8,20500.0,12.0,21.0,female,Higher Education,Computers,0,1,46000.0,Another,1,1,0
1,18000.0,6.0,56.0,female,Secondary Education,Cell phones,0,2,36000.0,Unmarried,1,0,0
1,6500.0,6.0,34.0,female,Secondary Special Education,Cell phones,0,2,26000.0,Married,0,0,1
8,45000.0,18.0,30.0,male,Secondary Special Education,Cosmetics and beauty services,1,2,26000.0,Another,2,0,0
3,16000.0,6.0,21.0,female,Secondary Education,Cell phones,0,2,36000.0,Married,0,0,0
6,30000.0,16.0,45.0,male,Secondary Special Education,Household appliances,1,2,31000.0,Married,1,0,0
9,21000.0,18.0,26.0,female,Secondary Special Education,Cell phones,0,2,26000.0,Married,0,0,0
2,15000.0,4.0,20.0,male,Secondary Education,Cell phones,0,2,10000.0,Another,3,0,0
2,18000.0,12.0,33.0,female,Higher Education,Household appliances,0,1,36000.0,Another,0,1,0
9,41000.0,10.0,33.0,female,Higher Education,Furniture,1,1,46000.0,Another,1,0,0
2,21000.0,6.0,20.0,male,Secondary Special Education,Household appliances,0,2,30000.0,Another,1,1,0
3,18000.0,8.0,26.0,female,Secondary Special Education,Furniture,0,2,26000.0,Another,0,1,0
8,31000.0,12.0,26.0,female,Secondary Special Education,Household appliances,0,2,31000.0,Another,0,1,1
7,29500.0,12.0,64.0,male,Secondary Special Education,Furniture,0,2,12000.0,Another,3,0,0
11,16000.0,8.0,24.0,female,Higher Education,Household appliances,0,2,46000.0,Another,2,0,0
1,11000.0,6.0,19.0,male,Secondary Special Education,Household appliances,0,2,21000.0,Another,0,1,0
2,6500.0,3.0,41.0,male,Secondary Special Education,Household appliances,1,2,11000.0,Married,1,1,0
10,21000.0,6.0,25.0,male,Higher Education,Computers,0,2,46000.0,Another,0,0,0
11,28000.0,10.0,22.0,female,Secondary Education,Cell phones,0,2,21000.0,Another,2,1,0
12,51000.0,36.0,34.0,male,Higher Education,Windows & Doors,0,2,20000.0,Another,0,0,0
12,14500.0,12.0,24.0,female,Secondary Special Education,Jewelry,1,2,26000.0,Another,0,1,0
7,20500.0,12.0,28.0,male,Higher Education,Cell phones,0,2,41000.0,Another,1,1,0
12,65500.0,4.0,40.0,male,Higher Education,Tourism,0,0,63500.0,Unmarried,1,1,0
3,19500.0,12.0,20.0,female,Incomplete Higher Education,Computers,0,2,31000.0,Another,2,1,0
9,15000.0,10.0,22.0,male,Incomplete Higher Education,Cell phones,0,2,26000.0,Another,1,1,0
1,37000.0,18.0,62.0,female,Secondary Special Education,Household appliances,1,0,51000.0,Another,3,0,0
11,65500.0,36.0,31.0,male,Secondary Education,Clothing,0,2,51000.0,Another,0,1,0
7,54000.0,12.0,27.0,female,Higher Education,Computers,0,2,51000.0,Another,3,0,0
10,14000.0,4.0,27.0,male,Higher Education,Fitness,0,1,31000.0,Another,1,1,0
7,39500.0,12.0,32.0,male,Higher Education,Repair Services,1,2,20000.0,Another,1,0,0
3,22000.0,6.0,40.0,female,Secondary Special Education,Cell phones,1,2,20000.0,Another,1,1,0
2,46500.0,12.0,54.0,male,Higher Education,Windows & Doors,0,0,63500.0,Another,0,1,0
1,6500.0,3.0,66.0,male,Secondary Special Education,Household appliances,1,2,19000.0,Another,2,1,0
11,19000.0,12.0,32.0,female,Secondary Special Education,Household appliances,1,2,26000.0,Married,0,1,0
4,5000.0,4.0,36.0,female,Secondary Special Education,Cell phones,1,2,41000.0,Another,1,1,0
4,28000.0,12.0,32.0,female,Secondary Special Education,Household appliances,0,0,43000.0,Married,2,1,0
4,5000.0,6.0,24.0,male,Secondary Special Education,Cell phones,1,2,11000.0,Another,2,1,0
12,37500.0,24.0,67.0,female,Higher Education,Computers,1,2,46000.0,Another,3,0,0
12,65500.0,12.0,39.0,male,Secondary Special Education,Clothing,1,2,61000.0,Another,1,1,0
10,36000.0,12.0,29.0,female,Higher Education,Clothing,1,2,51000.0,Unmarried,2,0,0
3,7500.0,8.0,22.0,female,Secondary Special Education,Cell phones,0,2,19000.0,Another,1,1,0
4,9000.0,4.0,25.0,male,Higher Education,Cell phones,1,2,26000.0,Another,2,0,0
6,41000.0,12.0,42.0,female,Secondary Special Education,Furniture,1,2,26000.0,Married,0,1,0
8,33000.0,6.0,26.0,male,Secondary Special Education,Cell phones,0,2,31000.0,Another,4,1,0
10,47000.0,18.0,62.0,male,Higher Education,Training,0,1,36000.0,Another,0,1,0
12,11000.0,4.0,26.0,female,Higher Education,Cell phones,0,2,26000.0,Married,1,1,0
10,38000.0,12.0,30.0,female,Secondary Special Education,Furniture,0,2,16000.0,Another,0,0,0
10,8500.0,6.0,30.0,female,Secondary Special Education,Cell phones,1,2,31000.0,Another,0,1,0
1,35000.0,12.0,28.0,male,Higher Education,Cell phones,1,1,34000.0,Another,1,1,0
1,28000.0,12.0,23.0,male,Higher Education,Cell phones,0,0,30000.0,Another,1,1,0
7,10500.0,6.0,19.0,male,Secondary Special Education,Cell phones,0,0,21000.0,Another,0,1,0
8,13000.0,3.0,37.0,female,Higher Education,Household appliances,1,2,36000.0,Another,0,0,0
3,11000.0,12.0,29.0,male,Secondary Education,Cell phones,1,2,11000.0,Another,1,1,1
8,14500.0,8.0,23.0,female,Secondary Special Education,Household appliances,1,2,26000.0,Another,2,1,0
4,26000.0,12.0,49.0,male,Secondary Special Education,Furniture,0,2,18000.0,Married,1,1,1
1,14000.0,6.0,24.0,female,Incomplete Higher Education,Computers,0,0,36000.0,Another,3,1,0
4,27500.0,10.0,21.0,male,Secondary Special Education,Household appliances,1,2,21000.0,Another,0,1,0
1,8000.0,6.0,24.0,female,Secondary Special Education,Cell phones,0,2,16000.0,Married,1,1,0
3,25000.0,12.0,25.0,male,Incomplete Higher Education,Cell phones,1,1,36000.0,Married,1,0,0
8,65000.0,10.0,23.0,male,Higher Education,Clothing,0,2,26000.0,Another,1,0,0
5,14500.0,12.0,52.0,male,Secondary Special Education,Household appliances,0,2,31000.0,Another,2,0,0
8,57500.0,36.0,29.0,female,Higher Education,Windows & Doors,1,2,17000.0,Another,1,1,0
2,10500.0,12.0,42.0,female,Secondary Special Education,Computers,1,2,24000.0,Another,0,1,0
7,12500.0,12.0,37.0,male,Secondary Special Education,Cell phones,1,2,16000.0,Another,2,1,0
3,11500.0,10.0,32.0,male,Secondary Special Education,Household appliances,1,2,26000.0,Another,0,0,0
1,8000.0,12.0,25.0,female,Secondary Education,Household appliances,0,2,11000.0,Married,3,1,1
4,16500.0,6.0,26.0,male,Secondary Special Education,Household appliances,0,2,26000.0,Another,3,0,0
8,5000.0,6.0,38.0,female,Secondary Special Education,Cell phones,0,2,16000.0,Another,1,0,0
10,65500.0,36.0,65.0,male,Secondary Special Education,Furniture,0,2,21000.0,Another,0,1,0
11,19000.0,12.0,53.0,male,Higher Education,Household appliances,0,0,56000.0,Another,0,1,0
2,65500.0,15.0,26.0,female,Higher Education,Tourism,1,2,61000.0,Another,0,0,0
3,8000.0,12.0,39.0,female,Secondary Education,Cell phones,0,2,36000.0,Another,3,1,0
3,7500.0,12.0,24.0,female,Secondary Special Education,Cell phones,0,2,21000.0,Another,2,1,0
2,29500.0,18.0,27.0,female,Higher Education,Household appliances,0,2,16000.0,Another,1,1,0
8,15500.0,12.0,22.0,female,Secondary Special Education,Household appliances,0,2,16000.0,Another,0,0,0
3,14000.0,6.0,45.0,female,Secondary Special Education,Cell phones,1,0,46000.0,Another,1,1,1
12,11000.0,6.0,44.0,female,Secondary Special Education,Auto,1,2,45000.0,Another,2,0,0
1,17000.0,6.0,42.0,male,Secondary Special Education,Household appliances,0,2,22000.0,Another,1,1,0
12,6500.0,5.0,33.0,female,Secondary Special Education,Household appliances,1,2,19000.0,Another,2,0,0
6,17000.0,12.0,19.0,male,Secondary Education,Cell phones,0,2,21000.0,Another,1,1,0
6,19000.0,12.0,27.0,male,Secondary Special Education,Cell phones,1,1,16000.0,Another,2,0,0
10,21500.0,3.0,29.0,female,Secondary Special Education,Household appliances,0,2,36000.0,Another,0,1,0
1,14500.0,9.0,20.0,male,Incomplete Higher Education,Household appliances,0,2,16000.0,Married,0,1,0
5,27000.0,10.0,54.0,male,Secondary Special Education,Computers,0,2,31000.0,Another,1,1,0
5,7000.0,9.0,29.0,male,Secondary Education,Computers,1,2,21000.0,Another,2,1,0
3,10000.0,12.0,25.0,female,Secondary Special Education,Household appliances,0,2,19000.0,Another,3,1,0
11,47000.0,10.0,21.0,female,Secondary Special Education,Household appliances,0,2,46000.0,Married,1,1,0
8,39000.0,12.0,55.0,female,Secondary Special Education,Computers,1,2,41000.0,Another,0,0,0
3,7500.0,10.0,25.0,female,Secondary Special Education,Cell phones,1,2,31000.0,Another,1,1,0
12,22500.0,12.0,24.0,female,Phd Degree,Household appliances,1,2,36000.0,Another,2,1,0
12,29500.0,10.0,36.0,male,Higher Education,Household appliances,1,2,36000.0,Another,0,0,0
4,25000.0,12.0,35.0,female,Secondary Special Education,Household appliances,0,2,26000.0,Another,1,0,0
12,21000.0,24.0,40.0,male,Secondary Education,Household appliances,0,2,21000.0,Married,0,1,0
2,33500.0,12.0,26.0,male,Higher Education,Household appliances,0,2,41000.0,Married,0,0,0
9,18500.0,4.0,47.0,male,Higher Education,Fitness,1,2,31000.0,Married,1,0,0
6,31000.0,6.0,30.0,male,Higher Education,Clothing,0,1,37000.0,Another,1,1,0
1,15500.0,10.0,25.0,female,Secondary Education,Household appliances,0,2,19000.0,Another,1,1,1
10,6500.0,6.0,20.0,female,Secondary Special Education,Cell phones,0,2,16000.0,Another,0,1,0
12,37500.0,12.0,45.0,male,Secondary Special Education,Cell phones,1,2,19000.0,Another,1,1,0
5,38000.0,12.0,53.0,female,Secondary Special Education,Household appliances,0,2,41000.0,Married,0,1,0
8,27000.0,18.0,24.0,female,Secondary Special Education,Computers,0,2,21000.0,Another,0,0,0
9,16000.0,3.0,23.0,male,Higher Education,Furniture,0,2,22000.0,Another,3,1,0
11,22000.0,10.0,21.0,female,Secondary Special Education,Computers,0,2,26000.0,Married,1,1,0
3,65500.0,12.0,57.0,female,Secondary Education,Furniture,1,2,51000.0,Another,0,1,0
11,25000.0,24.0,37.0,female,Higher Education,Furniture,1,2,41000.0,Another,1,1,0
4,14000.0,12.0,62.0,male,Secondary Special Education,Household appliances,0,2,27000.0,Another,1,1,0
5,13000.0,6.0,25.0,female,Secondary Special Education,Cell phones,0,2,31000.0,Another,2,1,0
2,12500.0,6.0,60.0,male,Secondary Education,Computers,1,2,21000.0,Another,1,0,0
12,65500.0,24.0,30.0,male,Higher Education,Cosmetics and beauty services,0,2,31000.0,Another,1,1,1
9,31000.0,36.0,62.0,male,Secondary Special Education,Sporting goods,0,2,11000.0,Another,1,0,0
7,26000.0,12.0,68.0,male,Secondary Special Education,Medical services,1,2,19000.0,Another,1,1,0
2,14000.0,6.0,59.0,male,Secondary Special Education,Furniture,1,2,12000.0,Another,1,1,0
3,15000.0,15.0,45.0,male,Higher Education,Medical services,1,2,31000.0,Married,2,0,1
3,43500.0,12.0,53.0,male,Higher Education,Cosmetics and beauty services,0,0,31000.0,Married,0,1,0
10,26500.0,6.0,58.0,male,Secondary Special Education,Clothing,0,2,19000.0,Another,2,1,0
5,20500.0,4.0,34.0,male,Secondary Special Education,Household appliances,1,2,24000.0,Another,1,1,0
5,18500.0,6.0,37.0,male,Higher Education,Computers,1,2,41000.0,Another,1,1,0
10,32000.0,8.0,34.0,female,Higher Education,Household appliances,0,0,51000.0,Another,1,1,0
